name,difficulty,id
defect,5,1
seat,2,2
indispensable,6,3
jargon,5,4
subconsciously,6,5
guard,3,6
dismiss,5,7
piece,2,8
impossible,3,9
she,1,10
additional,4,11
open,6,12
inverted,4,13
foundation,5,14
soon,2,15
acceptable,3,16
fundamental,6,17
victory,4,18
weather,1,19
clinical,5,20
issue,3,21
reptile,5,22
page,1,23
chore,5,24
compare,3,25
distressed,5,26
find,6,27
exemplify,6,28
pyramid,5,29
strawberry,3,30
reluctantly,5,31
powerful,3,32
usually,2,33
endangered,4,34
bone,3,35
fascinating,4,36
aircraft,4,37
fury,6,38
biological,4,39
sorry,1,40
scarcely,6,41
supply,4,42
musical,2,43
pride,4,44
declare,3,45
building,2,46
trekking,4,47
sense,3,48
Yours,4,49
station,1,50
somewhere,2,51
identify,4,52
separation,4,53
practical,4,54
respectable,4,55
imply,6,56
confidence,4,57
lifetime,4,58
everybody,2,59
triangle,4,60
miss,6,61
recruitment,5,62
menu,2,63
royal,4,64
generously,4,65
sore,3,66
singer,2,67
bronze,5,68
down,1,69
faint,4,70
systematically,6,71
babysit,3,72
moving,4,73
confuse,4,74
railway,2,75
shorten,5,76
equation,5,77
mental,4,78
arrest,3,79
clumsy,4,80
disturbing,6,81
butt,6,82
themselves,2,83
empty,2,84
fast,6,85
doorway,6,86
sacrifice,5,87
versatile,6,88
footballer,2,89
negotiate,5,90
misfortune,5,91
choir,4,92
union,3,93
way,2,94
sane,6,95
fluent,4,96
congratulations,2,97
contemplate,6,98
matter,4,99
devastating,5,100
liberty,4,101
originate,6,102
bend,4,103
key,1,104
peasant,5,105
prime,6,106
slash,4,107
backpacker,3,108
farming,3,109
penfriend,2,110
stupidity,6,111
intrusion,6,112
eagle,4,113
laundry,4,114
ground,3,115
insight,5,116
ton,4,117
rainforest,3,118
babysitter,3,119
beg,4,120
conductor,4,121
competitive,4,122
God,2,123
informally,5,124
approximate,4,125
professional,3,126
heavily,3,127
horrified,6,128
incurable,6,129
fortnight,3,130
September,1,131
glory,5,132
lunchtime,2,133
increase,3,134
inside,1,135
sunglasses,2,136
parallel,6,137
international,2,138
literal,6,139
structure,4,140
landscape,3,141
swing,4,142
dedicated,5,143
enjoyment,4,144
banker,4,145
forgiveness,6,146
lost,2,147
know,6,148
amount,3,149
let,5,150
eighth,2,151
concern,4,152
cover,2,153
meeting,2,154
premises,5,155
case,2,156
twist,5,157
colon,4,158
vaccination,6,159
means,4,160
document,2,161
schedule,4,162
festival,3,163
